,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
200,201,Adenilson dos Santos,,51.50,84.88,"$2,102",7,4,57.14%
201,202,Cauy Schmidt,,51,81.70,$356,15,5,33.33%
202,203,Brock Radford,,50,81.83,$840,6,3,50%
203,204,Tyce Willis,,49,82.50,"$2,806",3,1,33.33%
204,205,Dan Ruhland,,48,82.00,"$3,848",14,2,14.29%
205,205,Tristen Manning,,48,83.00,"$2,870",6,2,33.33%
206,207,Charlie Bailey,,47.50,84.75,"$2,805",13,2,15.38%
207,208,Kaleb Lewis,,46,81.25,"$3,819",4,2,50%
208,209,Victor Gabriel Reis,,45.50,80.29,$323,13,7,53.85%
209,210,Justice Forsythe,,45,84.00,"$2,323",3,1,33.33%
210,211,Wyatt Gleeson,,44,84.50,"$2,321",8,1,12.50%
211,211,Leonardo Zampollo,,44,85.00,$196,14,4,28.57%
212,211,João Pedro Braga,,44,84.30,$337,11,5,45.45%
213,214,Zane Cook,,43.50,81.00,"$1,676",13,3,23.08%
214,215,Silvio Junior,,43,80.38,$991,9,4,44.44%
215,216,Cody Hooks,,42.50,82.00,"$1,333",6,2,33.33%
216,217,Lucas Aráujo,,41.50,87.33,$883,4,3,75%
217,218,Gean Pereira Carvalho,,41,80.57,$164,12,7,58.33%
218,219,Jeremy Maisonneuve,,40.50,82.50,"$1,443",3,2,66.67%
219,220,Alex Jenks,,39,82.00,"$1,703",15,3,20%
220,220,Koby Usmar,,39,83.00,"$3,343",2,1,50%
221,222,Wyatt Moulton,,38,85.00,"$2,483",8,1,12.50%
222,222,Manoelito de Souza Junior,,38,76.67,"$3,071",26,3,11.54%
223,222,Jhett Wheeler,,38,81.25,"$2,524",5,2,40%
224,225,Jonathan Queiroz da Silva,,37.50,81.13,$585,5,4,80%
225,225,Tahj Wells,,37.50,83.00,$986,5,2,40%
226,227,Nathan Bayous,,37,84.75,"$2,360",7,2,28.57%
227,227,Gabriel Honorato,,37,79.50,"$2,252",4,1,25%
228,229,Lucas Fideles Souza,,36.50,85.25,"$1,719",9,2,22.22%
229,229,Matheus Klein de Oliveira,,36.50,81.13,"$1,721",4,4,100%
230,231,Tyler Greer,,36,81.00,"$3,051",2,1,50%
231,231,Storm Howard,,36,79.50,"$1,735",3,1,33.33%
232,233,Xman Antez,,35,80.00,"$1,306",3,1,33.33%
233,234,Michael Caruso,,34.50,84.50,"$3,307",4,1,25%
234,235,Emerson Lopes,,34,77.50,$148,16,4,25%
235,235,Matt Palmer,,34,81.00,"$1,657",2,1,50%
236,237,Mickey Andrews,,33.67,81.67,"$1,474",22,3,13.64%
237,238,Mauricio Gulla Moreira,,33,81.06,$79,9,4,44.44%
238,238,Douglas Lino de Souza,,33,84.50,"$1,415",11,1,9.09%
239,238,Jose Ryan dos Santos,,33,77.66,$38,22,8,36.36%
240,238,Weslei Ferreira de Jesus,,33,85.00,"$2,035",29,1,3.45%
241,242,João Ricardo Vieira,,32,85.75,"$1,485",6,2,33.33%
242,242,Dylan Weir,,32,81.25,"$2,552",12,2,16.67%
243,244,Dalton Rudman,,31.50,82.17,"$1,428",11,3,27.27%
