,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
147,148,Josh Stepp,,65,85.50,"$2,027",17,2,11.76%
148,148,Vanderson dos Santos,,65,76.10,"$1,318",12,5,41.67%
149,150,Brylee Smith,,64,85.50,"$2,906",16,1,6.25%
150,151,Ueberson Duarte,,63.50,76.67,"$2,300",19,3,15.79%
151,152,Winston Lopez,,62,87.00,"$3,498",2,2,100%
152,152,Marco Antonio Gloria,,62,73.50,"$1,607",14,5,35.71%
153,152,Clayton Sellars,,62,85.75,"$8,917",3,2,66.67%
154,155,Brumby Brandenburg,,61,84.25,"$2,810",11,2,18.18%
155,156,Julio Cesar Marques,,60,81.50,"$1,783",11,5,45.45%
156,157,Gage Gay,,59.33,85.75,"$2,544",7,2,28.57%
157,158,Matt Palmer,,59,84.00,"$4,131",4,2,50%
158,159,Mauricio Gulla Moreira,,58.83,83.25,"$1,904",8,4,50%
159,160,Avery Mullins,,57.33,81.25,"$2,710",7,4,57.14%
160,161,Jordan Hansen,,56.50,83.17,"$1,591",6,3,50%
161,162,Nicolas Hernandez,,56,86.00,"$2,179",14,3,21.43%
162,163,Eli Vastbinder,,55,86.00,"$3,000",8,1,12.50%
163,164,Matt Hennelly,,54,83.50,"$2,700",22,1,4.55%
164,165,Dakota Buttar,,53.50,84.00,"$2,643",6,3,50%
165,165,Jackson Gray,,53.50,80.25,"$2,944",13,2,15.38%
166,165,Guthrie Long,,53.50,84.17,"$2,373",16,3,18.75%
167,168,Weston Hartman,,53,82.50,"$2,437",17,3,17.65%
168,169,Lachlan Slade,,50.80,83.00,"$1,947",13,2,15.38%
169,170,Brady Turgeon,,50.50,84.25,"$3,286",8,2,25%
170,171,Flavio Zivieri,,48,84.50,"$2,326",15,2,13.33%
171,171,Travis Briscoe,,48,81.00,"$3,677",11,3,27.27%
172,173,Toby Collins,,47,84.00,"$4,126",3,3,100%
173,173,Kane Taylor,,47,81.75,"$1,720",22,2,9.09%
174,175,Lauro Nunes Vieira,,46.50,85.25,$20,10,4,40%
175,176,Will Watson,,45,80.00,"$2,106",3,2,66.67%
176,177,Chase Outlaw,,44,83.25,"$2,424",6,2,33.33%
177,178,Joao Gabriel Saran,,43,84.50,"$2,218",13,2,15.38%
178,179,Brock Radford,,42,80.50,$188,10,5,50%
179,179,Zach Miles,,42,82.25,$539,16,4,25%
180,179,Luiz Humberto Gonçalves,,42,83.25,$750,6,4,66.67%
181,182,Italo Rodrigues,,41.50,84.42,$300,10,3,30%
182,183,Dalton Davis,,40.50,81.00,"$2,267",12,2,16.67%
183,184,Alvin Detweiler,,38.50,77.50,"$1,150",9,2,22.22%
184,185,Caleb Cantrell,,37.50,77.00,$855,11,2,18.18%
185,186,Lane Lasley,,37,85.50,"$1,700",7,1,14.29%
186,186,Vitor Cassio de Assis,,37,78.31,$224,13,4,30.77%
187,186,Max Castro,,37,80.17,$240,27,3,11.11%
188,189,Jake Dunham,,36.66,78.00,$522,9,4,44.44%
189,190,Francisco Morales,,36,82.00,$452,10,3,30%
190,190,Paulo Souza,,36,82.50,"$1,520",13,1,7.69%
191,190,Ky Borghero,,36,82.25,"$1,854",18,2,11.11%
192,190,Tyce Willis,,36,84.50,"$2,463",3,1,33.33%
193,194,Douglas Franco,,35.50,82.50,"$1,769",27,2,7.41%
194,195,Wallace Vieira de Oliveira,,35,82.50,"$1,463",21,1,4.76%
195,196,Cody Fraser,,34.33,81.33,"$1,072",12,3,25%
196,197,Travis Wimberley,,34,81.50,$652,11,2,18.18%
197,197,Eder Barbosa,,34,81.50,"$1,240",24,1,4.17%
