#,Rider,Points,Avg Score,Prize $,Outs,Rides,Ride %,tour,year
1,Rafael Barbosa,0.0,76.58,3115.0,3,3,100.0,pbr_brazil,2021
1,Andrei Scoparo,0.0,85.83,10185.0,3,3,100.0,pbr_brazil,2021
1,João Lucas Campos,0.0,80.0,735.0,3,2,66.67,pbr_brazil,2021
1,Arthur Antonialle,0.0,86.13,2800.0,3,2,66.67,pbr_brazil,2021
1,Leandro Machado,0.0,84.0,980.0,3,2,66.67,pbr_brazil,2021
1,Lucas Martins Costa,0.0,85.25,945.0,3,1,33.33,pbr_brazil,2021
1,Caic Cassio Carvalho,0.0,82.0,0.0,2,1,50.0,pbr_brazil,2021
1,Aldo Mariano,0.0,85.0,117.0,2,1,50.0,pbr_brazil,2021
1,Bruno Carvalho,0.0,68.75,0.0,2,1,50.0,pbr_brazil,2021
1,Alex Junior da Silva,0.0,84.75,350.0,2,1,50.0,pbr_brazil,2021
1,Romario Leite,0.0,86.0,1540.0,3,1,33.33,pbr_brazil,2021
1,Daniel de Lima,0.0,83.5,0.0,2,1,50.0,pbr_brazil,2021
1,José Neto,0.0,71.25,0.0,2,1,50.0,pbr_brazil,2021
1,Roberto Carlos Vieira Junior,0.0,85.0,117.0,2,1,50.0,pbr_brazil,2021
1,Douglas Aparecido da Silva,0.0,78.5,0.0,2,1,50.0,pbr_brazil,2021
1,Cladson Rodolfo,0.0,81.75,0.0,2,1,50.0,pbr_brazil,2021
1,Bruno Scaranello,0.0,81.0,0.0,2,1,50.0,pbr_brazil,2021
1,Ayslan Jeferson,0.0,85.0,700.0,2,1,50.0,pbr_brazil,2021
1,Felipe Furlan,0.0,85.0,117.0,2,1,50.0,pbr_brazil,2021
1,Geovani do Nascimento,0.0,80.5,0.0,2,1,50.0,pbr_brazil,2021
1,Arisson Pereira,0.0,0.0,0.0,2,0,0.0,pbr_brazil,2021
1,Henrique Bueno,0.0,0.0,0.0,2,0,0.0,pbr_brazil,2021
1,Lucas Luan da Silva,0.0,0.0,0.0,1,0,0.0,pbr_brazil,2021
1,Samuel Thiago,0.0,0.0,0.0,2,0,0.0,pbr_brazil,2021
1,Sandro Batista,0.0,0.0,0.0,2,0,0.0,pbr_brazil,2021
1,Bruno Roberto,0.0,0.0,0.0,2,0,0.0,pbr_brazil,2021
1,Pablo Rodrigues Gomes,0.0,0.0,0.0,2,0,0.0,pbr_brazil,2021
1,Cody Coverchuk,339.5,84.73,85335.0,45,20,44.44,pbr_canada,2021
2,Dakota Buttar,316.16,83.83,30501.0,50,33,66.0,pbr_canada,2021
3,Zane Lambert,283.5,84.53,25441.0,32,17,53.13,pbr_canada,2021
4,Jordan Hansen,246.5,83.8,13389.0,20,15,75.0,pbr_canada,2021
5,Lonnie West,203.0,83.68,17308.0,27,14,51.85,pbr_canada,2021
6,Jake Gardner,188.33,84.62,11332.0,23,13,56.52,pbr_canada,2021
7,Callum Miller,170.5,85.13,11884.0,37,12,32.43,pbr_canada,2021
8,Todd Chotowetz,165.0,83.5,28351.0,21,9,42.86,pbr_canada,2021
9,Daylon Swearingen,158.0,85.8,41548.0,5,5,100.0,pbr_canada,2021
10,Jared Parsonage,152.0,82.83,15830.0,38,18,47.37,pbr_canada,2021
11,Aaron Roy,150.33,82.11,7561.0,37,14,37.84,pbr_canada,2021
12,Griffin Smeltzer,135.5,83.81,12462.0,40,13,32.5,pbr_canada,2021
13,Ashton Sahli,133.0,81.53,11279.0,50,16,32.0,pbr_canada,2021
14,Tim Lipsett,128.33,81.89,10228.0,33,9,27.27,pbr_canada,2021
15,Nick Tetz,124.16,84.03,12710.0,32,16,50.0,pbr_canada,2021
16,Garrett Green,121.0,84.43,6362.0,17,7,41.18,pbr_canada,2021
17,Micheal Ostashek,117.5,83.21,9594.0,37,12,32.43,pbr_canada,2021
18,Coy Robbins,97.0,84.06,7954.0,34,9,26.47,pbr_canada,2021
19,Tanner Eno,57.5,83.25,5518.0,19,6,31.58,pbr_canada,2021
20,Logan Biever,54.5,82.0,2938.0,21,7,33.33,pbr_canada,2021
21,Tyler Craig,46.83,80.5,4624.0,44,10,22.73,pbr_canada,2021
22,Brock Radford,40.0,82.75,1570.0,18,4,22.22,pbr_canada,2021
23,Chad Hartman,39.0,79.0,4118.0,24,6,25.0,pbr_canada,2021
24,Dakota Louis,29.5,84.17,839.0,7,3,42.86,pbr_canada,2021
24,Blake Smith,29.5,81.36,2421.0,27,7,25.93,pbr_canada,2021
26,Cole Young,28.33,80.33,2636.0,9,3,33.33,pbr_canada,2021
27,Dawson Shannon,23.0,82.0,1472.0,36,6,16.67,pbr_canada,2021
28,Weston Davidson,16.0,82.83,1638.0,21,3,14.29,pbr_canada,2021
29,Edgar Durazo,15.0,85.0,2078.0,2,1,50.0,pbr_canada,2021
30,Riley Gagnon,9.0,85.0,666.0,14,1,7.14,pbr_canada,2021
31,Wacey Finkbeiner,8.0,83.0,1151.0,20,2,10.0,pbr_canada,2021
32,Jaden Ozirney,1.5,82.0,57.0,4,1,25.0,pbr_canada,2021
33,Dayton Johnston,0.0,0.0,0.0,3,0,0.0,pbr_canada,2021
33,Shay Marks,0.0,80.5,0.0,14,1,7.14,pbr_canada,2021
33,Fabian Dueck,0.0,0.0,0.0,19,0,0.0,pbr_canada,2021
33,Wyatt Gleeson,0.0,0.0,0.0,6,0,0.0,pbr_canada,2021
33,Rosendo Ramirez,0.0,0.0,0.0,4,0,0.0,pbr_canada,2021
33,Cawl Braithwaite,0.0,83.5,0.0,6,1,16.67,pbr_canada,2021
33,Marco Antonio Gloria,0.0,0.0,0.0,4,0,0.0,pbr_canada,2021
33,Zachery King,0.0,0.0,0.0,1,0,0.0,pbr_canada,2021
33,Nicholas Klinck,0.0,0.0,0.0,22,0,0.0,pbr_canada,2021
33,Landon Schmidt,0.0,0.0,0.0,12,0,0.0,pbr_canada,2021
33,Ethan Schultz,0.0,0.0,0.0,3,0,0.0,pbr_canada,2021
33,Wyatt Laughlin,0.0,0.0,0.0,2,0,0.0,pbr_canada,2021
33,Tanner Skene,0.0,0.0,0.0,3,0,0.0,pbr_canada,2021
33,Eric O'Flynn,0.0,0.0,0.0,2,0,0.0,pbr_canada,2021
33,Cooper Zur,0.0,0.0,0.0,2,0,0.0,pbr_canada,2021
33,William Barrows,0.0,0.0,0.0,3,0,0.0,pbr_canada,2021
33,Zane Tully,0.0,0.0,0.0,2,0,0.0,pbr_canada,2021
33,Lonnie Phillips,0.0,0.0,0.0,3,0,0.0,pbr_canada,2021
33,Austen Watier,0.0,0.0,0.0,1,0,0.0,pbr_canada,2021
33,Travis Maguire,0.0,0.0,0.0,1,0,0.0,pbr_canada,2021
33,Billy West,0.0,0.0,0.0,1,0,0.0,pbr_canada,2021
33,Coy Doore,0.0,0.0,0.0,1,0,0.0,pbr_canada,2021
33,Dylan Somerville,0.0,0.0,0.0,2,0,0.0,pbr_canada,2021
1,Daylon Swearingen,127.5,88.06,57722.0,31,16,51.61,touring_pro_division,2021
2,Dalton Kasel,78.75,87.04,59426.0,16,12,75.0,touring_pro_division,2021
3,Derek Kolbaba,63.0,88.0,28762.0,9,6,66.67,touring_pro_division,2021
4,Junior Patrik Souza,59.5,80.68,40908.0,16,11,68.75,touring_pro_division,2021
5,Keyshawn Whitehorse,58.0,85.64,19913.0,15,7,46.67,touring_pro_division,2021
6,Claudio Montanha Jr.,57.5,87.6,52641.0,14,5,35.71,touring_pro_division,2021
7,Dakota Louis,54.5,84.82,18198.0,24,14,58.33,touring_pro_division,2021
8,Jose Vitor Leme,50.0,88.33,27119.0,9,6,66.67,touring_pro_division,2021
9,Grayson Cole,47.5,84.13,17868.0,16,8,50.0,touring_pro_division,2021
10,Luciano De Castro,45.5,85.0,19438.0,25,14,56.0,touring_pro_division,2021
11,Eli Vastbinder,43.0,85.78,14990.0,23,9,39.13,touring_pro_division,2021
12,Austin Richardson,40.5,84.69,14281.0,21,8,38.1,touring_pro_division,2021
12,Mason Taylor,40.5,87.5,15250.0,13,8,61.54,touring_pro_division,2021
12,D.J. Parker,40.5,85.4,17561.0,38,12,31.58,touring_pro_division,2021
15,Chase Dougherty,39.0,84.05,11526.0,24,10,41.67,touring_pro_division,2021
16,Maverick Potter,38.0,85.0,14314.0,2,2,100.0,touring_pro_division,2021
17,Andrew Alvidrez,37.25,86.03,13750.0,23,9,39.13,touring_pro_division,2021
18,Cody Jesus,35.5,87.07,14368.0,10,7,70.0,touring_pro_division,2021
19,Stetson Lawrence,32.0,86.17,11198.0,17,6,35.29,touring_pro_division,2021
20,Alvaro Alvarez Aguilar,31.0,86.85,10263.0,12,5,41.67,touring_pro_division,2021
21,Cole Skender,29.0,85.14,7991.0,19,7,36.84,touring_pro_division,2021
22,Dalton Rudman,28.0,86.67,2470.0,15,3,20.0,touring_pro_division,2021
23,Dener Barbosa,27.83,86.71,6921.0,16,7,43.75,touring_pro_division,2021
24,Josh Frost,27.0,90.5,2750.0,3,1,33.33,touring_pro_division,2021
25,Gage Gay,26.5,86.64,11125.0,24,7,29.17,touring_pro_division,2021
26,Jake Lockwood,25.5,88.0,8764.0,12,1,8.33,touring_pro_division,2021
27,Wallace Vieira de Oliveira,24.0,85.56,6182.0,11,4,36.36,touring_pro_division,2021
28,River Stephenson,23.0,87.0,9122.0,15,4,26.67,touring_pro_division,2021
28,Clayton Sellars,23.0,85.03,11847.0,14,8,57.14,touring_pro_division,2021
30,João Ricardo Vieira,21.5,86.88,6121.0,14,4,28.57,touring_pro_division,2021
30,Casey Coulter,21.5,86.5,9102.0,16,5,31.25,touring_pro_division,2021
32,Marcus Mast,20.0,84.83,5250.0,23,6,26.09,touring_pro_division,2021
32,Dawson Branton,20.0,78.13,6543.0,10,4,40.0,touring_pro_division,2021
34,Cody Nance,18.0,85.75,6124.0,12,6,50.0,touring_pro_division,2021
