,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
154,126,Fabricio Francisco,,0,0.00,$0,1,0,0%
155,126,Paulo Galdino,,0,0.00,$0,1,0,0%
156,126,Diogo de Oliveira,,0,0.00,$0,1,0,0%
157,126,Felipe Ferreira,,0,0.00,$0,2,0,0%
158,126,Maikon Calixton Rocha,,0,0.00,$0,2,0,0%
159,126,Pedro Henrique de Souza,,0,0.00,$0,2,0,0%
160,126,Devanildo Biscaia,,0,0.00,$0,2,0,0%
161,126,Rogério Aragão,,0,0.00,$0,2,0,0%
162,126,Danilo da Silva,,0,0.00,$0,2,0,0%
163,126,Igor Cavechioli,,0,0.00,$0,3,0,0%
164,126,Pedro Borges Paco,,0,0.00,$0,3,0,0%
165,126,Daniel Perubino,,0,0.00,$0,3,0,0%
166,126,Alex Cardozo,,0,0.00,$0,3,0,0%
167,126,Lucas Teixeira,,0,0.00,$0,1,0,0%
168,126,Robson Aragão,,0,0.00,$0,2,0,0%
169,126,Wallace Vieira de Oliveira,,0,0.00,$0,1,0,0%
170,126,Rafael Jose de Brito,,0,0.00,$0,3,0,0%
171,126,Flavilson Roberto da Silva,,0,0.00,$0,3,0,0%
172,126,Guilherme Francisco,,0,0.00,$0,3,0,0%
173,126,Jhonny da Silva,,0,0.00,$0,1,0,0%
174,126,Romualdo da Silva,,0,0.00,$0,1,0,0%
175,126,Luik Santos,,0,0.00,$0,1,0,0%
176,126,Giovani dos Santos,,0,0.00,$0,1,0,0%
177,126,Thiago Novais Silveira,,0,0.00,$0,1,0,0%
178,126,Hudson dos Santos,,0,0.00,$0,3,0,0%
179,126,Marcos Polli,,0,0.00,$0,1,0,0%
180,126,Willian de Jesus,,0,0.00,$0,3,0,0%
181,126,Patrik Cruz,,0,0.00,$0,1,0,0%
182,126,Jeferson Rodrigues,,0,0.00,$0,3,0,0%
183,126,João Vitor Anacleto,,0,0.00,$0,3,0,0%
184,126,Anderson da Silva,,0,0.00,$0,1,0,0%
185,126,Breno Capovilla,,0,0.00,$0,1,0,0%
186,126,Lucas dos Santos,,0,0.00,$0,1,0,0%
187,126,Lucas Freitas,,0,0.00,$0,1,0,0%
188,126,Itamar Silva,,0,0.00,$0,1,0,0%
189,126,Jean Pedro,,0,0.00,$0,1,0,0%
190,126,Edilson Dias,,0,0.00,$0,1,0,0%
191,126,Tiago Santos,,0,0.00,$0,1,0,0%
192,126,Rafael da Silva,,0,0.00,$0,1,0,0%
193,126,Helio Bento,,0,0.00,$0,1,0,0%
194,126,Leonardo Henrique dos Santos,,0,0.00,$0,3,0,0%
195,126,Danilo Oliveira,,0,0.00,$0,1,0,0%
196,126,Flavio Moraes,,0,0.00,$0,1,0,0%
197,126,Karin Rosa,,0,0.00,$0,2,0,0%
198,126,Paulo Eduardo Oliveira,,0,0.00,$0,1,0,0%
199,126,Edson Augusto da Silva,,0,0.00,$0,2,0,0%
200,126,Arthur Garcia,,0,0.00,$0,3,0,0%
201,126,Euler Pacelli,,0,0.00,$0,3,0,0%
202,126,Eduardo Leonardo,,0,0.00,$0,3,0,0%
203,126,Alison Aguiar,,0,0.00,$0,3,0,0%
204,126,Pedro Augusto Ribeiro,,0,0.00,$0,2,0,0%
205,126,Cristiano Marques de Almeida,,0,0.00,$0,2,0,0%
206,126,Wendel Bruno Nunes,,0,0.00,$0,2,0,0%
207,126,Rodrigo da Silva,,0,0.00,$0,2,0,0%
208,126,Ricardo Rosa Vais,,0,0.00,$0,3,0,0%
209,126,Alan da Silva,,0,0.00,$0,1,0,0%
210,126,Carlos Mendes,,0,0.00,$0,1,0,0%
211,126,Everton de Oliveira,,0,0.00,$0,1,0,0%
212,126,Flávio Rocha,,0,0.00,$0,1,0,0%
213,126,Jean de Miranda,,0,0.00,$0,1,0,0%
